id,name,instructions,videoUrl,image,muscleGroups,generalMuscleGroups,injuryRisks,category,isTimed,difficulty,caloriesPerMinute
tricep_bench_dips,Tricep Bench Dips,Position you self just off the edge of the bench with hands shoulder width apart on the edge in good posture. knees ar 90 degrees. Slowly lower your body by bending the elbows and shoulders until your arm at the forearms creates a 90 degree angle. Maintain posture throughout,,,Long Head Triceps,Arms,Shoulders;Wrists,Bodyweight,false,Intermediate,4
face_pull,Face Pull,"Reach up and grasp the handles with both hands with your palms facing in. Step back until your arms are fully extended, then engage your core and lean back slightly, positioning your body at a roughly 20-degree angle. Pull the rope toward you just enough to start lifting the weight from the stack, then engage your shoulders, rolling them back to create good posture—you don't want your shoulders hunching or rolling forward. This is your starting position. Pull the handles of the attachment straight toward your forehead. Keep your palms facing in as your elbows flare outward toward the sides, engaging the rear delts.",,,Rear Shoulder,Shoulders,Shoulders,Gym,false,Intermediate,5
chin_ups,Chin Ups,"Using a supinated grip, grasp the bar with a shoulder width grip. Take a deep breath, squeeze your glutes and brace your abs. Depress the shoulder blades and then drive the elbows straight down to the floor while activating the lats. Pull your chin towards the bar until the lats are fully contracted and the chin is above the bar, then slowly lower yourself back to the start position",,,Lats;Upper Back,Back,Shoulders,Gym,false,Advanced,6
single_arm_dumbbell_row,Single Arm Dumbbell Row,"Grip a dumbbell in your left hand, then place your right knee and right hand on the left edge of a bench. ...Tuck in your ribs to create a neutral spine and engage your core. Press your right hand firmly into the bench to create a strong base and then row the dumbbell towards your waist.",,,Lats;Mid Back,Back,Shoulders,dumbbells,false,Intermediate,5
single_arm_overhead_tricep_dumbbell_extension,Single Arm Overhead Tricep Dumbbell Extension,"Sit with your feet and glutes firmly planted and one arm flexed behind your head holding a dumbbell .With your other hand on your hip exhale and extend the dumbbell overhead, focusing on keeping your upper arm from moving. Continue until your arm is straight and the dumbbell is overhead.Inhale and allow your arm to bend, returning to the starting position. Do not lock your elbow",,,Long Head Triceps,Arms,Elbows,dumbbells,false,Intermediate,5
barbell_overhead_press,Barbell Overhead Press,"Stand with the bar on your front shoulders, and your hands next to your shoulders.Press the bar over your head, until it's balanced over your shoulders and mid-foot.Lock your elbows at the top, and shrug your shoulders to the ceiling.",,,Front Shoulder;Mid Shoulder;Traps,Shoulders,Shoulders,Gym,false,Advanced,6
donkey_calf_raise_machine,Donkey Calf Raise Machine,"step on the foot plate, hinge at the waist, and situate the upper pad on your lower back. From this position, contract your calves to lift up on your toes. Squeeze your calves hard at the top and slowly return to the starting position.",,,Calves,Legs,Ankles,Gym,false,Intermediate,5
cable_single_arm_tricep_pushdown,Cable Single Arm Tricep Pushdown,"Stand at a cable station with handle attachment. Elbow pinned to side, push rope downward until arm fully extends. Return rope to chest height under control without letting your elbow move",,,Long Head Triceps,Arms,Elbows,Gym,false,Intermediate,5
incline_bicep_curl,Incline Bicep Curl,"Sit against an incline bench (55–65° degree). With supinated grip, let arms fully extend behind the body. Curl dumbbells to shoulders, emphasizing the long head of the biceps, then lower slowly.",,assets/images/incline_curl.jpg,Long Head Biceps,Arms,Elbows,dumbbells,false,Intermediate,5
barbell_curl,Barbell Curl,"Grasp the barbell with an underhand grip, shoulder-width apart. Bend your elbows and curl the barbell up towards your chest, squeezing your biceps at the top. Slowly lower the barbell back to starting position, keeping tension on the biceps muscles throughout.",,,Long Head Biceps;Short Head Biceps,Arms,Elbows,Gym,false,Intermediate,5
cable_chest_press,Cable Chest Press,"Hold a handle in each hand in an overhand grip, then stand between the cables with your back turned towards the equipment. Position your feet slightly wider than shoulder-width apart and take a step forward. Your front knee should be slightly bent.Lift your arms and bend the elbows 90 degrees. Your elbows and forearms should be in line with the resistance line. This is your starting position.Take a deep breath and hold it for a second. Engage your core to keep your spine stable.On the exhale, press your arms forward. Your thumbs should connect at the center – this is the finishing position.Inhale as you return your arms to the starting position. All movements should be done slowly and with as much control as possible.",,,Mid Chest,Chest,Shoulders,Gym,false,Intermediate,6
good_morning_dumbbells,Good Morning Dumbbells,"Stand with a dumbbell across your chest, knees slightly bent. Hinge at the hips, keeping back straight. Feel tension in hamstrings, then drive hips forward to stand.",,assets/images/good_morning.jpg,Hamstrings;Glutes;Lower Back,Legs;Glutes;Back,Lower Back,dumbbells,false,Intermediate,5
lying_tricep_extension,Lying Tricep Extension,"Lie back on a bench, placing your head near the end of the bench. Squeeze your glutes and focus on driving your feet into the ground. Begin to drop the dumbbell behind your head, driving your elbows toward the ceiling. Avoid flaring your elbows—keep your arms tight and close to your torso",,,Lateral Head Triceps;Medial Head Triceps,Arms,Elbows,Gym,false,Intermediate,5
seated_leg_curl_machine,Seated Leg Curl Machine,"Select the desired weight, then adjust the pad so it rests comfortably above the back of the heels.Tense up the hamstrings by taking the weight slightly off the stack. This is the starting position for the exercise.Take a deep breath, squeeze the hamstrings, and curl the weight up as far as possible while keeping the spine neutral.Slowly lower the weight back to the starting position and repeat.",,,Hamstrings,Legs,Knees,Gym,false,Intermediate,5
barbell_hip_thrust,Barbell Hip Thrust,Start in a supine position with your back on a bench and roll a barbell up to the crease of your hips. Drive both feet into the floor and squeeze your glutes while bridging your hips up. Lower your hips back to the starting position.,,,Glutes,Glutes,Lower Back,Gym,false,Intermediate,6
deadlift,Deadlift,"Grasp the bar just outside the line of your knees with an overhand or mixed grip.Position your feet shoulder-width apart (or not much more) with toes under the bar. Your feet point straight ahead, or they can angle out slightly. Heels should stay flat on the surface. As you lift and lower the bar, it will travel close to the shins and may even graze them. Maintain a neutral spine position.Engage your abdominal muscles.Slowly bring the weight down as far as you can while maintaining proper form, softening your knees, and keeping your back flat.",,,Lower Back;Hamstrings;Glutes,Back;Legs;Glutes,Lower Back,Gym,false,Advanced,7
towel_bicep_curls,Towel Bicep Curls,"Start in a sitting position. Bend your right knee and place the middle of the towel underneath your right leg. With your arms by your side and palms facing forward holding the towel, pull on the towel and bend your arms until your arms are flexed. For resistance, press down on the towel with your right leg. Lower your arms back down until your arms are back by your side.",,,Biceps,Arms,,Bodyweight,false,Beginner,4
arm_circles,Arm Circles,"Stand tall, arms extended out at shoulder level. Make small forward circles for desired reps, then reverse. Warms up shoulders and improves mobility.",,assets/images/arm_circles.jpg,Front Shoulder;Mid Shoulder,Shoulders,Shoulders,Bodyweight,false,Beginner,4
machine_preacher_curl,Machine Preacher Curl,"Sit on the machine with your upper arms resting on the pad, (adjust the machine so you can comfortably rest your arms on the pad) your hands should grip the handles with an underhand grip. Exhale and curl the handles toward your shoulder while keeping your elbows firmly pressed into the pad.Continue to curl until you reach about shoulder level.Inhale and lower the handles, returning to the starting position.",,,Short Head Biceps,Arms,Elbows,Gym,false,Intermediate,5
band_reverse_pulls,Band Reverse Pulls,"Hold a resistance band at eye level, hands slightly wider than shoulders. Pull the band outward, squeezing rear delts and upper back. Control the return. Good for posture.",,assets/images/band_reverse_pulls.jpg,Rear Shoulder;Upper Back,Shoulders;Back,Shoulders,Gym,false,Intermediate,5
bench_press,Bench Press,"Lie flat on a bench, grip the bar slightly wider than shoulders. Lower the bar to mid-chest, then press up powerfully. Keep shoulders retracted, feet firm on the ground.",,assets/images/bench_press.jpg,Mid Chest;Triceps;Front Shoulder,Chest;Arms;Shoulders,Shoulders,Gym,false,Intermediate,6
bicep_dumbbell_curls,Bicep Dumbbell Curls,"Stand with dumbbells at your sides, palms forward. Curl dumbbells toward your shoulders, keeping elbows tight to torso. Lower under control.",,assets/images/bicep_curls.jpg,Long Head Biceps;Short Head Biceps,Arms,Elbows,dumbbells,false,Intermediate,5
bicep_push_ups,Bicep Push Ups,A close-stance push-up variation that shifts emphasis to biceps by keeping elbows snug to the torso and palms turned slightly outward. Maintain a rigid core throughout.,,assets/images/bicep_push_ups.jpg,Biceps;Mid Chest,Arms;Chest,Wrists,Bodyweight,false,Intermediate,4
bodyweight_squats,Bodyweight Squats,"Feet shoulder-width, toes out slightly. Brace core, drop hips back and down until thighs near parallel. Drive up through heels. Keep knees out and back neutral.",,assets/images/bodyweight_squats.jpg,Quads;Glutes,Legs;Glutes,Knees;Lower Back,Bodyweight,false,Beginner,4
dynamic_stretching,Dynamic Stretching,Perform light dynamic stretches for 5 minutes.,,,Full Body,Full Body,,Warm-Up,true,Beginner,3
cable_reverse_fly,Cable Reverse Fly,"Stand between two cable stacks set at chest height. Grip opposite handles with arms slightly forward. Pull arms out and back, targeting rear delts and upper back.",,assets/images/cable_reverse_fly.jpg,Rear Shoulder;Upper Back,Shoulders;Back,Shoulders,Gym,false,Intermediate,5
calf_raises,Calf Raises,"Stand holding dumbbells (or bodyweight) for balance. Raise heels upward, pause, then lower under control. Focus on a steady, controlled tempo.",,assets/images/calf_raises.jpg,Calves,Legs,Ankles,dumbbells,false,Beginner,4
chest_supported_dumbbell_row,Chest Supported Dumbbell Row,"Set an incline bench at ~45°. Lie chest-down, arms hanging with dumbbells. Pull elbows back to row, squeezing upper back. Lower slowly.",,assets/images/chest_supported_dumbbell_row.jpg,Upper Back;Lats,Back,Shoulders,dumbbells,false,Intermediate,5
close_grip_bench_press,Close-Grip Bench Press,"Lie on a flat bench with a barbell. Grip the bar with your hands closer than shoulder-width apart. Lower the bar to your chest and then press upward, focusing on your triceps.",,assets/images/close_grip_bench_press.jpg,Mid Chest;Triceps,Chest;Arms,Shoulders,Gym,false,Intermediate,6
close_grip_dumbbell_press,Close Grip Dumbbell Press,"Lie flat holding dumbbells at chest level, palms facing each other. Press up, keeping dumbbells close together to target triceps and inner chest. Lower slowly.",,assets/images/close_grip_dumbbell_press.jpg,Mid Chest;Triceps,Chest;Arms,Shoulders,dumbbells,false,Intermediate,5
close_grip_push_ups,Close Grip Push Ups,"Assume a push-up position with hands slightly narrower than shoulders. Keep elbows close to ribs as you lower and push back up, emphasizing triceps and chest.",,assets/images/close_grip_push_ups.jpg,Mid Chest;Triceps,Chest;Arms,Wrists,Bodyweight,false,Intermediate,4
ab_routine,Ab Routine,5 abdominal Variations,,,Upper Abs;Lower Abs;Obliques,Core,,Bodyweight,false,Intermediate,4
crunches,Crunches,"Lie on your back, knees bent. Hands gently behind ears or crossed on chest. Lift shoulder blades off the floor by contracting abs, then lower. Avoid pulling on your neck.",,assets/images/crunches.jpg,Upper Abs,Core,Neck,Bodyweight,false,Beginner,4
lower_back_extension,Lower Back Extension,"Place your thighs on the pad. Bend your knees slightly and secure your feet, keeping them in line with your knees. Extend your arms toward the floor.Exhale and move up until your shoulders, spine, and hips are in line. Engage your core and gently slide your shoulders back.Inhale and bend down from your waist. Touch the floor.",,,Lower Back,Back,Lower Back,Gym,false,Intermediate,5
static_stretching,Static Stretching,Perform static stretches for 5 minutes.,,,Full Body,Full Body,,Cool-Down,true,Beginner,3
12line_bench_press,12line Bench Press,"Lie on a 12line bench with a barbell. Grip the bar slightly wider than shoulder-width. Lower it to your lower chest, then press upward.",,assets/images/12line_bench_press.jpg,Lower Chest;Triceps,Chest;Arms,Shoulders,Gym,false,Intermediate,6
diamond_push_ups,Diamond Push ups,"Form a triangle/diamond with your hands beneath your chest. Lower yourself by bending elbows, then push back up, targeting triceps and inner chest.",,assets/images/diamond_push_ups.jpg,Mid Chest;Triceps,Chest;Arms,Wrists;Shoulders,Bodyweight,false,Intermediate,4
dumbbell_chest_press,Dumbbell Chest Press,"Lie on a flat bench holding dumbbells at chest level. Press them upward, keeping elbows at ~45°. Lower slowly, focusing on chest contraction.",,assets/images/dumbbell_chest_press.jpg,Mid Chest;Triceps;Front Shoulder,Chest;Arms;Shoulders,Shoulders,dumbbells,false,Intermediate,5
dumbbell_deadlift,Dumbbell Deadlift,"Stand with dumbbells at your sides, knees slightly bent. Hinge at hips, lowering weights near shins. Push through heels, keeping back flat, to stand upright. Squeeze glutes at top.",,assets/images/dumbbell_deadlift.jpg,Hamstrings;Glutes;Lower Back,Legs;Glutes;Back,Lower Back,dumbbells,false,Intermediate,5
dumbbell_fly,Dumbbell Fly,"Pick up the dumbbells off the floor using a neutral grip (palms facing in). Position the ends of the dumbbells in your hip crease, and sit down on the bench.To get into position, lay back and keep the weights close to your chest. Once you are in position, take a deep breath, then press the dumbbells to lockout at the top.Slightly retract your shoulder blades, unlock your elbows, and slowly lower the dumbbells laterally while maintaining the angle at your elbow.Once the dumbbells reach chest level, reverse the movement by squeezing your pecs together and bringing the dumbbells back to their starting position.",,https://firebasestorage.googleapis.com/v0/b/cashfit-2800f.firebasestorage.app/o/uploads%2F1000012028.jpg?alt=media&token=26493ac9-ec28-4ebd-af01-5f920ded855f,Mid Chest,Chest,Shoulders,dumbbells,false,Intermediate,5
dumbbell_shrugs,Dumbbell Shrugs,"Kneel torso slightly forward while holding the dumbbells at your sides with a neutral grip, shrug shoulders toward ears, pause, then lower slowly. Keep neck relaxed, focusing on upper traps.",,assets/images/dumbbell_shrugs.jpg,Traps,Shoulders,Neck,dumbbells,false,Intermediate,5
dumbell_chest,dumbell chest,push,,,Mid Chest,Chest,Shoulders,dumbbells,false,Intermediate,5
dumbbell_reverse_snow_angels,Dumbbell Reverse Snow Angels,"Lie face down on a mat with arms at your sides holding the dumbbells, palms facing up. Engage your core and squeeze your glutes to stabilize your body. Slowly lift your chest and arms off the ground, keeping your legs down. Move your arms out to the sides, forming a T-shape with your body.Continue the motion, bringing your arms overhead to form a Y-shape. As you move your arms, rotate your shoulders so your palms face down at the top of the movement.Reverse the movement, bringing your arms back down to your sides.Lower your chest and arms to the starting position.",,,Upper Back;Mid Back;Rear Shoulder,Back;Shoulders,Shoulders,dumbbells,false,Intermediate,5
flat_dumbbell_press,Flat Dumbbell Press,"Lie on a flat bench with dumbbells at chest level. Press the weights upward until your arms are fully extended, then lower them slowly.",,assets/images/flat_dumbbell_press.jpg,Mid Chest;Triceps;Front Shoulder,Chest;Arms;Shoulders,Shoulders,Gym,false,Intermediate,5
front_dumbbell_raise,Front Dumbbell Raise,"Stand with dumbbells at your sides. Lift the weights in front of you to shoulder height with a slight bend in the elbows, then lower slowly.",,assets/images/front_dumbbell_raise.jpg,Front Shoulder,Shoulders,Shoulders,Dumbbells,false,Intermediate,5
front_barbell_raises,Front Barbell Raises,"Stand with in in front of thighs, palms in. Lift arms forward to shoulder height, focusing on front delts. Lower slowly, avoiding back sway.",,assets/images/front_riases.jpg,Front Shoulder,Shoulders,Shoulders,dumbbells,false,Intermediate,5
glute_bridge_dumbbell,Glute Bridge Dumbbell,"Lie on your back, knees bent, feet flat. Place a dumbbell across your hips if desired. Squeeze glutes to lift hips into a straight line from shoulders to knees, then lower slowly.",,assets/images/glute_bridge.jpg,Glutes,Glutes,Lower Back,dumbbells,false,Beginner,4
superman_hold_dumbbells,Superman Hold Dumbbells,"Lie facedown on a flat bench, with your chest reaching the end of the bench with arms hanging down.Hold a light weight in each hand with palms facing towards one another.Stretch your arms directly in front of you so that they create a straight line with your torso. Raise your arms as far as they can go, while keeping them straight. Hold this position. Lower your arms back down and then repeat.",,,Lower Back,Back,Lower Back,dumbbells,false,Intermediate,5
goblet_squat,Goblet Squat,"Hold a dumbbell or kettlebell at chest level with both hands. Stand with feet shoulder-width. Squat down, keeping chest up and knees tracking over toes. Push through heels to stand.",,assets/images/goblet_squat.jpg,Quads;Glutes,Legs;Glutes,Knees;Lower Back,dumbbells,false,Intermediate,5
good_morning,Good Morning,"Stand with a dumbbell across your chest, knees slightly bent. Hinge at the hips, keeping back straight. Feel tension in hamstrings, then drive hips forward to stand.",,assets/images/good_morning.jpg,Hamstrings;Glutes;Lower Back,Legs;Glutes;Back,Lower Back,dumbbells,false,Intermediate,5
hammer_curl,Hammer Curl,"Stand holding dumbbells with your palms facing inward. Curl the weights upward while keeping your wrists neutral, then lower slowly.",,assets/images/hammer_curl.jpg,Long Head Biceps;Forearms,Arms,Elbows,Dumbbells,false,Intermediate,5
hammer_curls,Hammer Curls,"Stand holding dumbbells, palms facing inward. Curl up without rotating wrists, emphasizing brachialis and forearms. Lower slowly.",,assets/images/hammer_curls.jpg,Long Head Biceps;Forearms,Arms,Elbows,dumbbells,false,Intermediate,5
hamstring_curl_machine,Hamstring Curl Machine,"While grasping the machine's handles, push down on the lower leg pad, pulling it as close to your glutes as you can. Hold for 2 seconds, then return to the starting position",,assets/images/hamstring_curl_machine.jpg,Hamstrings,Legs,Knees,Gym,false,Intermediate,5
hamstring_curls,Hamstring Curls,"Lie face down, optionally place a light dumbbell between your feet. Curl heels toward your butt, squeezing your hamstrings. Lower slowly.",,assets/images/hamstring_curls.jpg,Hamstrings,Legs,Knees,dumbbells,false,Intermediate,5
incline_barbell_press,Incline Barbell Press,"Lie on an incline bench with feet planted. Grip the bar slightly wider than your shoulders. Lower it toward your upper chest, then press upward, focusing on your upper chest and shoulders.",,assets/images/incline_barbell_press.jpg,Upper Chest;Front Shoulder;Triceps,Chest;Shoulders;Arms,Shoulders,Gym,false,Intermediate,6
incline_dumbbell_curl,Incline Dumbbell Curl,"Sit on an incline bench with your arms hanging straight. Curl the dumbbells upward while keeping your elbows fixed, then lower slowly.",,assets/images/incline_dumbbell_curl.jpg,Long Head Biceps,Arms,Elbows,Dumbbells,false,Intermediate,5
incline_dumbbell_press,Incline Dumbbell Press,"Lie on an incline bench (30–45°angle) hands positioned at your shoulders, elbows bent and angled down below your ribs. Relax your neck against the bench, Keep your feet flat on the floor. Brace your core and press both dumbbells straight over your chest as you exhale. Keep your wrists straight and at the top of the movement the dumbbells should be very close to eachother (without touching). Slowly lower the dumbbells to the top of your chest as you inhale. As you lower the dumbbells, your elbows should come down at roughly a 45-degree angle to your torso, always keep your elbows pointing to the floor on the way down.",,assets/images/incline_dumbbell_press.jpg,Upper Chest;Front Shoulder;Triceps,Chest;Shoulders;Arms,Shoulders,dumbbells,false,Intermediate,5
incline_press,Incline Press,"Lie back on an incline bench with dumbbells at shoulder height. Press them upward, focusing on upper chest and front delts. Lower under control.",,assets/images/incline_press.jpg,Upper Chest;Front Shoulder;Triceps,Chest;Shoulders;Arms,Shoulders,dumbbells,false,Intermediate,5
incline_smith_machine_bench_press,Incline Smith Machine Bench Press,Set the bench at a 90 degree angle and push the bar without locking your elbows,,,Upper Chest;Triceps,Chest;Arms,Shoulders,Gym,false,Intermediate,6
lateral_raise,Lateral Raise,"Stand tall with a dumbbell in each hand. Arms are at your sides, palms facing in. Position your feet roughly hip-distance apart. Check your posture—roll your shoulders back, engage your coge, and look straight ahead.Raise your arms simultaneously just a couple of inches out to each side and pause. This momentary pause should help ensure you disengage your trapezius muscle from the movement, targeting the deltoids as intended.Lift the dumbbells up and out to each side, keeping your arms almost completely straight, stopping when your elbows reach shoulder height and your body forms a ""T"" shape. Breathe in as you lift.Pause and hold for a second at the top of the movement.Lower the weights slowly (take about twice as long to lower the weights as you took to lift them), bringing your arms back to your sides. Exhale as you lower the dumbbells.",,assets/images/lateral_raise.jpg,Mid Shoulder,Shoulders,Shoulders,dumbbells,false,Intermediate,5
lateral_raises,Lateral Raises,"Stand tall with dumbbells at sides, palms in. Raise arms out to shoulder height, focusing on side delts. Pause, then lower slowly.",,assets/images/lateral_raises.jpg,Mid Shoulder,Shoulders,Shoulders,dumbbells,false,Intermediate,5
leg_extension,Leg Extension,"Place your hands on the hand bars. Lift the weight while exhaling until your legs are almost straight. Do not lock your knees. Keep your back against the backrest, and do not arch your back. Exhale and lower the weight back to the starting position.",,assets/images/leg_extension.jpg,Quads,Legs,Knees,Gym,false,Intermediate,5
leg_press,Leg Press,"Sit on a leg press machine with feet shoulder-width on the platform. Press through heels, avoiding knee lockout. Return slowly, keeping hips and back against the seat.",,assets/images/leg_press.jpg,Quads;Glutes,Legs;Glutes,Knees;Lower Back,Gym,false,Intermediate,6
leg_press_calve_raises,Leg Press Calve Raises,"On a leg press machine, place the balls of your feet on the lower edge. Press toes away, flexing ankles, then return by letting heels drop slightly.",,https://firebasestorage.googleapis.com/v0/b/cashfit-2800f.firebasestorage.app/o/uploads%2F1000012039.jpg?alt=media&token=40df03aa-e538-4795-9e52-581b65785549,Calves,Legs,Ankles,Gym,false,Intermediate,5
machine_shoulder_press,Machine Shoulder Press,"Sit with back against the pad, handles at shoulder level. Press upward, without locking elbows. Lower with control.",,assets/images/machine_shoulder_press.jpg,Front Shoulder;Mid Shoulder,Shoulders;Arms,Shoulders,Gym,false,Intermediate,6
ez_bar_front_raise,EZ Bar Front Raise,"In a standing position hold the EZ bar in the negative position close to your thighs, lower the bar to return to the initial position. Lift the EZ bar in upwards with your arms straight forward and perpendicular to the body and the EZ bar is slightly above shoulder height then lower the EZ bar to the original position.",,,Front Shoulder,Shoulders,Shoulders,Gym,false,Intermediate,5
push_ups,Push Ups,"Hands just outside shoulder-width, body straight. Lower chest near the floor, then press up. Works chest, shoulders, arms, and core stability.",,assets/images/normal_push_ups.jpg,Mid Chest;Front Shoulder;Triceps,Chest;Shoulders;Arms,Wrists,Bodyweight,false,Beginner,4
