id,name,instructions,videoUrl,image,muscleGroups,generalMuscleGroups,injuryRisks,category,isTimed,difficulty,caloriesPerMinute,setsRange,repsRange,restTimeSeconds,exerciseType,movementPattern,specificEquipment,targetIntensity,workoutPhase,recommendedDurationSeconds,minimumEquipmentAlternative,genderAdjustment,pairWith
skullcrushers,Skullcrushers,"Lie flat on a bench with your feet planted on the ground, holding an EZ bar or barbell with an overhand grip, hands shoulder-width apart. Extend your arms straight up over your chest, keeping your wrists strong. Inhale as you slowly lower the bar toward your forehead by bending your elbows, keeping your upper arms perpendicular to the floor and elbows tucked in. Stop when the bar is about an inch above your forehead. Exhale as you extend your arms back to the starting position, fully contracting your triceps. Avoid moving your upper arms or letting your elbows flare out.",,,Long Head Triceps;Medial Head Triceps,Arms,Elbows,Gym,FALSE,Intermediate,5,03-04,08-12,60,Accessory,Push,EZ Bar,Moderate,Accessory,,tricep_dips,More Upper Body for Men,ez_bar_curl
powerlifting_squat,Powerlifting Squat,"Position a barbell in a squat rack at a height just below your shoulders. Step under the bar and place it across your upper back, either in a high-bar position (on your traps) or low-bar position (on your rear delts). Grip the bar firmly, hands slightly wider than shoulder-width, and unrack it by standing up. Step back and set your feet slightly wider than shoulder-width, toes pointed out 15-30 degrees. Inhale deeply to brace your core, pull your shoulder blades back, and keep your chest up. Begin the squat by pushing your hips back and bending your knees, keeping your knees tracking over your toes and your back neutral. Lower until your hips are at least parallel to your knees, then exhale as you drive through your heels to stand back up, squeezing your glutes at the top. Avoid letting your knees cave inward or your back round.",,,Quads;Hamstrings;Glutes,Legs;Glutes,Knees;Lower Back,Gym,FALSE,Advanced,7,04-May,06-10,90,Compound,Squat,Barbell,High,Main,,smith_machine_squat,More Lower Body for Women,deadlift
cardio,Cardio,"Choose a cardio activity such as running, cycling, swimming, rowing, or using an elliptical machine. Perform at a moderate intensity where you can still talk but feel your heart rate elevated. Aim for a steady pace, keeping your posture upright and breathing steady. For example, if running, land softly on your midfoot and avoid overstriding. If cycling, maintain a smooth pedal stroke and avoid hunching your shoulders. Adjust intensity based on your fitness level.",,assets/images/flat_dumbbell_press.jpg,Full Body,Full Body,,Cardio,FALSE,Intermediate,10,03-04,20-30 minutes,60,Compound,Other,Cardio Equipment,Moderate,Main,,jump_rope,None,
overhead_rope_extension,Overhead Rope Extension,"Attach a rope to the bottom pulley of a cable machine. Stand facing away from the machine, feet shoulder-width apart, and grab the rope with both hands, palms facing each other. Extend your arms overhead, keeping your elbows close to your head and pointing upward. Engage your core to avoid arching your back. Inhale as you lower the rope behind your head by bending your elbows, feeling a stretch in your triceps. Exhale as you extend your arms back to the starting position, fully contracting your triceps. Keep your upper arms stationary and avoid letting your elbows flare out.",,,Long Head Triceps;Medial Head Triceps,Arms,Elbows,Gym,FALSE,Intermediate,5,03-04,08-12,60,Accessory,Push,Cable,Moderate,Accessory,,tricep_pushdown_rope,More Upper Body for Men,close_grip_ez_bar_curl
seated_shoulder_press,Seated Shoulder Press,"Set an adjustable bench to a 90-degree angle and sit with your back fully supported, feet flat on the floor. Hold a dumbbell in each hand at shoulder height, palms facing forward, elbows bent at 90 degrees and pointing downward. Engage your core and keep your chest up. Exhale as you press the dumbbells overhead, bringing them close together at the top without locking your elbows. Inhale as you lower the dumbbells back to shoulder height, keeping your elbows at a 45-degree angle to your torso. Avoid shrugging your shoulders or arching your back during the movement.",,,Front Shoulder;Mid Shoulder,Shoulders,Shoulders,dumbbells,FALSE,Intermediate,6,03-04,08-12,60,Compound,Push,Dumbbells,Moderate,Main,,seated_dumbbell_shoulder_press,More Upper Body for Men,chest_supported_dumbbell_row
close_grip_lat_pull_down,Close Grip Lat Pull Down,"Sit at a lat pull-down machine and adjust the seat so your thighs are secured under the pads. Attach a V-handle or close-grip bar and grasp it with a neutral or underhand grip, hands closer than shoulder-width. Sit upright, feet flat on the floor, and engage your core. Lean back slightly (about 20 degrees) and pull your shoulder blades down and back. Exhale as you pull the handle down to the top of your chest, driving your elbows down and squeezing your lats. Pause briefly, then inhale as you return the handle to the starting position with control. Avoid arching your back or using momentum to pull the weight.",,,Lats;Mid Back,Back,Shoulders,Gym,FALSE,Intermediate,6,03-04,08-12,60,Compound,Pull,Cable,Moderate,Main,,seated_cable_row,More Upper Body for Men,incline_smith_machine_bench_press
tricep_bench_dips,Tricep Bench Dips,"Sit on the edge of a bench with your hands gripping the edge, fingers pointing forward, and feet flat on the floor, knees bent at 90 degrees (or legs extended for more challenge). Slide your hips off the bench, keeping your arms straight and shoulders away from your ears. Inhale as you bend your elbows to lower your body, stopping when your upper arms are parallel to the ground or you feel a stretch in your shoulders. Exhale as you press through your hands to extend your arms and return to the starting position, focusing on your triceps. Keep your torso upright and avoid shrugging your shoulders.",,,Long Head Triceps,Arms,Shoulders;Wrists,Bodyweight,FALSE,Intermediate,4,03-04,08-12,60,Accessory,Push,Bodyweight,Moderate,Accessory,,tricep_dips,More Upper Body for Men,bicep_push_ups
face_pull,Face Pull,"Set a cable machine with a rope attachment at upper chest height. Stand facing the machine, feet shoulder-width apart, and grab the rope with both hands, palms facing each other. Step back until your arms are fully extended, then lean back slightly (about 20 degrees) and engage your core. Pull the rope toward your face, flaring your elbows out to the sides and aiming the handles toward your forehead. Squeeze your rear delts and upper back at the end of the movement, then slowly return to the starting position. Keep your shoulders down and avoid using your traps excessively.",,,Rear Shoulder,Shoulders,Shoulders,Gym,FALSE,Intermediate,5,03-04,08-12,60,Accessory,Pull,Cable,Moderate,Accessory,,cable_reverse_fly,More Upper Body for Men,
chin_ups,Chin Ups,"Hang from a pull-up bar with a supinated (underhand) grip, hands shoulder-width apart, arms fully extended. Engage your core and squeeze your glutes to stabilize your body. Pull your shoulder blades down and back to initiate the movement. Exhale as you pull your body up, driving your elbows down until your chin is above the bar and your lats are fully contracted. Inhale as you slowly lower yourself back to the starting position, maintaining control. Avoid swinging your body or kipping to use momentum.",,,Lats;Upper Back;Biceps,Back;Arms,Shoulders,Gym,FALSE,Advanced,6,04-May,06-10,90,Compound,Pull,Pull-Up Bar,High,Main,,pull_ups,More Upper Body for Men,12line_bench_press
single_arm_dumbbell_row,Single Arm Dumbbell Row,"Place your right knee and right hand on a flat bench, keeping your back flat and parallel to the ground. Hold a dumbbell in your left hand, letting it hang straight down, palm facing in. Engage your core and pull your shoulder blade back. Exhale as you row the dumbbell up toward your waist, driving your elbow back and keeping it close to your body. Squeeze your lats at the top, then inhale as you lower the dumbbell back to the starting position with control. Avoid rotating your torso or shrugging your shoulder.",,,Lats;Mid Back,Back,Shoulders,dumbbells,FALSE,Intermediate,5,03-04,08-12,60,Compound,Pull,Dumbbells,Moderate,Main,,seated_dumbbell_row,More Upper Body for Men,dumbbell_chest_press
single_arm_overhead_tricep_dumbbell_extension,Single Arm Overhead Tricep Dumbbell Extension,"Sit on a bench with your feet flat on the floor, holding a dumbbell in your right hand. Extend your right arm overhead, keeping your elbow close to your head and palm facing forward. Place your left hand on your hip for stability. Inhale as you bend your right elbow, lowering the dumbbell behind your head until your forearm is parallel to the ground. Exhale as you extend your arm back to the starting position, fully contracting your triceps. Keep your upper arm stationary and avoid locking your elbow at the top. Repeat on the other side.",,,Long Head Triceps,Arms,Elbows,dumbbells,FALSE,Intermediate,5,03-04,08-12,60,Accessory,Push,Dumbbells,Moderate,Accessory,,single_arm_overhand_extension,More Upper Body for Men,incline_dumbbell_curl
barbell_overhead_press,Barbell Overhead Press,"Stand with your feet shoulder-width apart, holding a barbell at shoulder height with an overhand grip, hands just outside your shoulders. Engage your core and keep your chest up. Exhale as you press the bar overhead, extending your arms until they’re fully straight but not locked out. At the top, shrug your shoulders slightly to engage your traps, ensuring the bar is balanced over your midfoot. Inhale as you lower the bar back to your shoulders, keeping your elbows slightly forward. Avoid arching your lower back or leaning back excessively.",,,Front Shoulder;Mid Shoulder;Traps,Shoulders,Shoulders,Gym,FALSE,Advanced,6,04-May,06-10,90,Compound,Push,Barbell,High,Main,,smith_machine_shoulder_press,More Upper Body for Men,wide_grip_lat_pull_down
donkey_calf_raise_machine,Donkey Calf Raise Machine,"Position yourself on a donkey calf raise machine with your hips under the pad and the balls of your feet on the footplate, heels hanging off the edge. Hinge at your hips so your torso is parallel to the ground, keeping your legs straight but not locked. Inhale as you lower your heels toward the floor, feeling a stretch in your calves. Exhale as you press through the balls of your feet, raising your heels as high as possible and squeezing your calves at the top. Lower back down with control, avoiding any bouncing motion.",,,Calves,Legs,Ankles,Gym,FALSE,Intermediate,5,03-04,08-12,60,Accessory,Other,Calf Machine,Moderate,Accessory,,smith_machine_calve_raises,None,
cable_single_arm_tricep_pushdown,Cable Single Arm Tricep Pushdown,"Set a cable machine with a single handle attachment at the highest setting. Stand facing the machine, feet shoulder-width apart, and grab the handle with your right hand, palm facing down. Pin your right elbow to your side, keeping your upper arm stationary. Exhale as you push the handle down until your arm is fully extended, focusing on contracting your triceps. Inhale as you slowly return the handle to chest height, maintaining control and keeping your elbow in place. Repeat on the other side. Avoid leaning forward or using your shoulder to push the weight.",,,Long Head Triceps,Arms,Elbows,Gym,FALSE,Intermediate,5,03-04,08-12,60,Accessory,Push,Cable,Moderate,Accessory,,tricep_pushdown_rope,More Upper Body for Men,cable_bicep_curl
incline_bicep_curl,Incline Bicep Curl,"Set an incline bench to a 55-65 degree angle and sit with your back fully supported, feet flat on the floor. Hold a dumbbell in each hand, arms fully extended, palms facing up, and let your arms hang down behind your body. Keep your elbows close to your torso. Exhale as you curl the dumbbells toward your shoulders, focusing on squeezing your biceps and keeping your upper arms stationary. Inhale as you slowly lower the dumbbells back to the starting position, maintaining tension in your biceps. Avoid swinging the weights or letting your elbows flare out.",,assets/images/incline_curl.jpg,Long Head Biceps,Arms,Elbows,dumbbells,FALSE,Intermediate,5,03-04,08-12,60,Accessory,Pull,Dumbbells,Moderate,Accessory,,seated_dumbbell_bicep_curl,Lighter Weight for Women,seated_tricep_extension
barbell_curl,Barbell Curl,"Stand with your feet shoulder-width apart, holding a barbell with an underhand grip, hands shoulder-width apart. Let the bar rest against your thighs, keeping your elbows tucked into your sides and your torso upright. Exhale as you curl the bar up toward your chest, squeezing your biceps at the top of the movement. Keep your wrists straight and avoid swinging your body. Inhale as you slowly lower the bar back to the starting position, maintaining tension in your biceps. Do not let the bar rest on your thighs at the bottom.",,,Long Head Biceps;Short Head Biceps,Arms,Elbows,Gym,FALSE,Intermediate,5,03-04,08-12,60,Accessory,Pull,Barbell,Moderate,Accessory,,bicep_dumbbell_curls,Lighter Weight for Women,skullcrushers
cable_chest_press,Cable Chest Press,"Set the cable machine pulleys to chest height. Stand in the center, holding a handle in each hand with an overhand grip, and step forward into a staggered stance (one foot slightly ahead). Position your arms at a 90-degree angle, elbows in line with your shoulders, and maintain a slight forward lean. Engage your core to stabilize your spine. Exhale as you press the handles forward, bringing them together in front of your chest, fully contracting your chest muscles. Inhale as you slowly return to the starting position, keeping the movement controlled. Avoid arching your back or letting your shoulders shrug.",,,Mid Chest,Chest,Shoulders,Gym,FALSE,Intermediate,6,03-04,08-12,60,Compound,Push,Cable,Moderate,Main,,seated_machine_chest_press,More Upper Body for Men,seated_cable_row
good_morning_dumbbells,Good Morning Dumbbells,"Stand with your feet shoulder-width apart, holding a dumbbell with both hands at chest level, elbows bent. Keep a slight bend in your knees and engage your core. Inhale as you hinge at your hips, pushing your hips back and lowering your torso until it’s nearly parallel to the ground, feeling a stretch in your hamstrings. Keep your back flat and neck neutral. Exhale as you drive your hips forward to return to the starting position, squeezing your glutes at the top. Avoid rounding your back or letting your knees bend excessively.",,assets/images/good_morning.jpg,Hamstrings;Glutes;Lower Back,Legs;Glutes;Back,Lower Back,dumbbells,FALSE,Intermediate,5,03-04,08-12,60,Compound,Hinge,Dumbbells,Moderate,Main,,romanian_deadlift_dumbbells,More Lower Body for Women,leg_press
lying_tricep_extension,Lying Tricep Extension,"Lie flat on a bench with your feet planted on the floor, holding a dumbbell in each hand (or a single dumbbell with both hands). Extend your arms straight up over your chest, palms facing each other. Engage your core and squeeze your glutes to stabilize your body. Inhale as you lower the dumbbells behind your head by bending your elbows, keeping your upper arms stationary and elbows pointing toward the ceiling. Lower until your forearms are parallel to the ground, then exhale as you extend your arms back to the starting position, fully contracting your triceps. Avoid flaring your elbows or arching your back.",,,Lateral Head Triceps;Medial Head Triceps,Arms,Elbows,dumbbells,FALSE,Intermediate,5,03-04,08-12,60,Accessory,Push,Dumbbells,Moderate,Accessory,,overhead_dumbbell_extension,More Upper Body for Men,hammer_curls
seated_leg_curl_machine,Seated Leg Curl Machine,"Sit on a leg curl machine and adjust the pad so it rests just above your heels, with your thighs secured under the seat pad. Grasp the handles for stability and keep your back against the backrest. Engage your core and tense your hamstrings slightly. Exhale as you curl the weight toward your glutes, squeezing your hamstrings at the top of the movement. Inhale as you slowly return to the starting position, keeping the movement controlled and your spine neutral. Avoid lifting your hips off the seat or arching your back.",,,Hamstrings,Legs,Knees,Gym,FALSE,Intermediate,5,03-04,08-12,60,Accessory,Hinge,Leg Curl Machine,Moderate,Main,,hamstring_curls,More Lower Body for Women,leg_extension
barbell_hip_thrust,Barbell Hip Thrust,"Sit on the floor with your upper back against a bench, knees bent, and feet flat on the ground, hip-width apart. Roll a barbell over your legs so it rests in the crease of your hips (use a pad for comfort). Engage your core and keep your chin tucked. Exhale as you drive through your heels, lifting your hips until your body forms a straight line from shoulders to knees, squeezing your glutes at the top. Inhale as you lower your hips back down with control, stopping just above the ground. Avoid overarching your lower back or letting your knees cave inward.",,,Glutes,Glutes,Lower Back,Gym,FALSE,Intermediate,6,03-04,08-12,60,Compound,Other,Barbell,Moderate,Main,,hip_thrust,More Lower Body for Women,
deadlift,Deadlift,"Stand with your feet shoulder-width apart, toes under a barbell, and the bar close to your shins. Bend at your hips and knees to grasp the bar with an overhand or mixed grip, hands just outside your knees. Keep your back flat, chest up, and shoulders slightly in front of the bar. Engage your core and pull your shoulder blades down and back. Inhale to brace, then exhale as you lift the bar by driving through your heels and extending your hips and knees simultaneously. Stand tall, squeezing your glutes at the top, then inhale as you lower the bar back to the ground with control, keeping it close to your body. Avoid rounding your back or jerking the bar off the ground.",,,Lower Back;Hamstrings;Glutes,Back;Legs;Glutes,Lower Back,Gym,FALSE,Advanced,7,04-May,06-10,90,Compound,Hinge,Barbell,High,Main,,dumbbell_deadlift,More Lower Body for Women,powerlifting_squat
towel_bicep_curls,Towel Bicep Curls,"Sit on the floor with your right knee bent and foot flat. Place a towel under your right foot, holding each end of the towel with your hands, palms facing up. Keep your arms by your sides and your torso upright. Exhale as you pull the towel toward your chest by bending your elbows, using your foot to provide resistance by pressing down on the towel. Squeeze your biceps at the top, then inhale as you slowly lower your arms back to the starting position. Keep your elbows close to your body and avoid using your shoulders to pull.",,,Biceps,Arms,,Bodyweight,FALSE,Beginner,4,02-Mar,12-15,30,Accessory,Pull,Towel,Low,Accessory,,bicep_dumbbell_curls,Lighter Weight for Women,tricep_dips
arm_circles,Arm Circles,"Stand tall with your feet shoulder-width apart, arms extended out to the sides at shoulder height, palms facing down. Engage your core and keep your shoulders relaxed. Begin making small forward circles with your arms, keeping them straight and controlled, for the desired number of reps. Then, reverse the direction to make small backward circles. Focus on smooth, controlled movements to warm up your shoulders. Avoid shrugging your shoulders or bending your elbows excessively.",,assets/images/arm_circles.jpg,Front Shoulder;Mid Shoulder,Shoulders,Shoulders,Warm-Up,FALSE,Beginner,4,1,30 seconds,0,Warm-Up,Other,Bodyweight,Low,Warm-Up,30-60,,standing_arm_swings,More Upper Body for Men
machine_preacher_curl,Machine Preacher Curl,"Sit on a preacher curl machine and adjust the seat so your upper arms rest comfortably on the pad, with your chest against the support. Grasp the handles with an underhand grip, arms extended. Engage your core and keep your shoulders relaxed. Exhale as you curl the handles toward your shoulders, focusing on squeezing your biceps and keeping your elbows pressed into the pad. Pause at the top, then inhale as you slowly lower the handles back to the starting position, maintaining tension in your biceps. Avoid using your shoulders or back to lift the weight.",,,Short Head Biceps,Arms,Elbows,Gym,FALSE,Intermediate,5,03-04,08-12,60,Accessory,Pull,Preacher Curl Machine,Moderate,Accessory,,preacher_curl,Lighter Weight for Women,overhead_rope_extension
band_reverse_pulls,Band Reverse Pulls,"Anchor a resistance band at eye level (e.g., to a door or pole). Stand facing the anchor point, holding the band with both hands, hands slightly wider than shoulder-width, palms facing each other. Step back to create tension in the band, keeping your arms straight and core engaged. Exhale as you pull the band outward, bringing your hands toward your sides and squeezing your rear delts and upper back. Inhale as you slowly return to the starting position, maintaining control. Keep your shoulders down and avoid arching your back.",,assets/images/band_reverse_pulls.jpg,Rear Shoulder;Upper Back,Shoulders;Back,Shoulders,dumbbells,FALSE,Intermediate,5,03-04,08-12,60,Accessory,Pull,Resistance Band,Moderate,Accessory,,reverse_fly,More Upper Body for Men,
bench_press,Bench Press,"Lie flat on a bench with your feet planted on the ground, eyes under the barbell. Grasp the bar with an overhand grip, hands slightly wider than shoulder-width. Unrack the bar by straightening your arms and position it over your mid-chest. Inhale to brace your core, then lower the bar to your mid-chest, keeping your elbows at a 45-degree angle to your torso. Exhale as you press the bar back up to the starting position, fully extending your arms but not locking your elbows. Keep your shoulder blades retracted and avoid bouncing the bar off your chest.",,assets/images/bench_press.jpg,Mid Chest;Triceps;Front Shoulder,Chest;Arms;Shoulders,Shoulders,Gym,FALSE,Intermediate,6,03-04,08-12,60,Compound,Push,Barbell;Bench,Moderate,Main,,push_ups,Lighter Weight for Women;More Upper Body for Men,wide_grip_lat_pull_down
bicep_dumbbell_curls,Bicep Dumbbell Curls,"Stand with your feet shoulder-width apart, holding a dumbbell in each hand, arms by your sides, palms facing forward. Keep your elbows tucked into your torso and your shoulders relaxed. Exhale as you curl the dumbbells toward your shoulders, focusing on squeezing your biceps and keeping your upper arms stationary. Pause at the top, then inhale as you slowly lower the dumbbells back to the starting position, maintaining control. Avoid swinging the weights or using your shoulders to lift.",,assets/images/bicep_curls.jpg,Long Head Biceps;Short Head Biceps,Arms,Elbows,dumbbells,FALSE,Intermediate,5,03-04,08-12,60,Accessory,Pull,Dumbbells,Moderate,Accessory,,seated_dumbbell_bicep_curl,Lighter Weight for Women,tricep_dips
bicep_push_ups,Bicep Push Ups,"Start in a push-up position with your hands close together, directly under your chest, fingers pointing slightly outward to emphasize your biceps. Keep your body in a straight line from head to heels, core engaged. Inhale as you lower your chest toward the ground, keeping your elbows close to your torso and flaring them slightly backward. Exhale as you push back up to the starting position, focusing on using your biceps and chest. Avoid letting your hips sag or your shoulders shrug.",,assets/images/bicep_push_ups.jpg,Biceps;Mid Chest,Arms;Chest,Wrists,Bodyweight,FALSE,Intermediate,4,03-04,08-12,60,Compound,Push,Bodyweight,Moderate,Main,,incline_push_ups,More Upper Body for Men,tricep_bench_dips
bodyweight_squats,Bodyweight Squats,"Stand with your feet shoulder-width apart, toes slightly turned out. Engage your core and keep your chest up. Inhale as you push your hips back and bend your knees, lowering into a squat until your thighs are at least parallel to the ground. Keep your knees tracking over your toes and your back neutral. Exhale as you drive through your heels to stand back up, squeezing your glutes at the top. Avoid letting your knees cave inward or your back round.",,assets/images/bodyweight_squats.jpg,Quads;Glutes,Legs;Glutes,Knees;Lower Back,Bodyweight,FALSE,Beginner,4,02-Mar,12-15,30,Compound,Squat,Bodyweight,Low,Main,,chair_squats,More Lower Body for Women,glute_bridge
dynamic_stretching,Dynamic Stretching,"Perform a series of dynamic stretches for 5 minutes to warm up your body. Examples include leg swings, arm circles, walking lunges with a twist, and high knees. Move through each stretch with control, focusing on increasing your range of motion and elevating your heart rate. For leg swings, stand on one leg and swing the other leg forward and backward, keeping your core engaged. Avoid bouncing or forcing the movements, and keep your breathing steady.",,,Full Body,Full Body,,Warm-Up,TRUE,Beginner,3,1,5 minutes,0,Warm-Up,Other,Bodyweight,Low,Warm-Up,300,,cat_cow_stretch,None
cable_reverse_fly,Cable Reverse Fly,"Set the cable machine pulleys to chest height. Stand in the center, grabbing the left handle with your right hand and the right handle with your left hand, crossing the cables in front of you. Step back slightly, keeping a slight bend in your elbows and your core engaged. Exhale as you pull your arms out and back in a wide arc, squeezing your rear delts and upper back at the end of the movement. Inhale as you slowly return to the starting position, maintaining control. Avoid shrugging your shoulders or arching your back.",,assets/images/cable_reverse_fly.jpg,Rear Shoulder;Upper Back,Shoulders;Back,Shoulders,Gym,FALSE,Intermediate,5,03-04,08-12,60,Accessory,Pull,Cable,Moderate,Accessory,,reverse_fly,More Upper Body for Men,
calf_raises,Calf Raises,"Stand with your feet hip-width apart, holding a dumbbell in each hand by your sides (or use bodyweight for a lighter variation). Keep your core engaged and shoulders relaxed. Exhale as you rise onto the balls of your feet, squeezing your calves at the top of the movement. Pause briefly, then inhale as you lower your heels back to the ground with control. For added challenge, perform on a step with your heels hanging off the edge to increase the range of motion. Avoid bouncing or using momentum.",,assets/images/calf_raises.jpg,Calves,Legs,Ankles,dumbbells,FALSE,Beginner,4,02-Mar,12-15,30,Accessory,Other,Dumbbells,Low,Accessory,,standing_calf_raises,None,
